Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
18.06.2018;20:03:30;900930;925117;-2.649;150;25;0;100;1068
18.06.2018;20:03:31;900978;925171;-2.65;150;25;0;100;-1157
18.06.2018;20:03:32;900916;925109;-2.65;150;25;0;100;-409
18.06.2018;20:03:33;900926;925108;-2.649;150;25;0;100;2767
18.06.2018;20:03:34;900973;925163;-2.649;150;25;0;100;-1655
18.06.2018;20:03:35;901012;925204;-2.65;150;25;0;100;-234
18.06.2018;20:03:36;900938;925126;-2.649;150;25;0;100;494
18.06.2018;20:03:37;900982;925157;-2.648;150;25;0;100;3483
18.06.2018;20:03:38;900988;925169;-2.648;150;25;0;100;-1434
18.06.2018;20:03:39;900926;925101;-2.648;150;25;0;100;1065
18.06.2018;20:03:40;901005;925181;-2.648;149;25;0;100;277
18.06.2018;20:03:41;900980;925152;-2.647;149;25;0;100;823
18.06.2018;20:03:42;900967;925139;-2.648;149;25;0;100;-86
18.06.2018;20:03:43;900974;925138;-2.647;149;25;0;100;2024
18.06.2018;20:03:44;900916;925079;-2.647;149;25;0;100;-137
18.06.2018;20:03:45;900973;925142;-2.647;149;25;0;100;-1105
18.06.2018;20:03:46;901046;925220;-2.648;149;25;0;100;-752
18.06.2018;20:03:47;901056;925218;-2.646;149;25;0;100;3033
18.06.2018;20:03:48;900982;925148;-2.647;149;25;0;100;-1480
18.06.2018;20:03:49;900929;925086;-2.646;149;25;0;100;1874
18.06.2018;20:03:50;900993;925150;-2.646;149;25;0;100;424
18.06.2018;20:03:51;900983;925136;-2.645;149;25;0;100;923
18.06.2018;20:03:52;901016;925166;-2.645;149;25;0;100;960
18.06.2018;20:03:53;901023;925181;-2.646;149;25;0;100;-1931
18.06.2018;20:03:54;901014;925164;-2.645;149;25;0;100;1918
18.06.2018;20:03:55;901009;925165;-2.646;149;25;0;100;-1516
18.06.2018;20:03:56;901017;925169;-2.645;149;25;0;100;1042
18.06.2018;20:03:57;901066;925216;-2.645;149;25;0;100;819
18.06.2018;20:03:58;901027;925170;-2.644;149;25;0;100;1472
18.06.2018;20:03:59;900930;925073;-2.645;149;25;0;100;-643
18.06.2018;20:04:00;900917;925061;-2.645;149;25;0;100;-333
18.06.2018;20:04:01;900935;925081;-2.645;149;25;0;100;-375
18.06.2018;20:04:02;900941;925080;-2.644;149;25;0;100;1770
18.06.2018;20:04:03;900975;925122;-2.645;150;25;0;100;-1741
18.06.2018;20:04:04;901094;925238;-2.644;150;25;0;100;1520
18.06.2018;20:04:05;900971;925114;-2.644;150;25;0;100;-564
18.06.2018;20:04:06;901068;925214;-2.644;150;25;0;100;-98
18.06.2018;20:04:07;900966;925104;-2.644;150;25;0;100;1293
18.06.2018;20:04:08;900985;925125;-2.644;150;25;0;100;-366
18.06.2018;20:04:09;901014;925150;-2.644;150;25;0;100;1173
18.06.2018;20:04:10;901005;925136;-2.643;150;25;0;100;1169
18.06.2018;20:04:11;901094;925228;-2.643;150;25;0;100;-151
18.06.2018;20:04:12;901096;925228;-2.643;150;25;0;100;504
18.06.2018;20:04:13;901092;925231;-2.644;150;25;0;100;-1745
18.06.2018;20:04:14;901031;925161;-2.643;149;25;0;100;1821
18.06.2018;20:04:15;901004;925132;-2.643;149;25;0;100;316
18.06.2018;20:04:16;900969;925091;-2.642;149;25;0;100;1252
18.06.2018;20:04:17;901007;925124;-2.641;149;25;0;100;1488
18.06.2018;20:04:18;900978;925092;-2.641;149;25;0;100;550
18.06.2018;20:04:19;901028;925145;-2.641;149;25;0;100;-411
18.06.2018;20:04:20;901016;925122;-2.64;149;25;0;100;2640
18.06.2018;20:04:21;901038;925135;-2.639;149;25;0;100;2371
18.06.2018;20:04:22;901076;925178;-2.64;149;25;0;100;-985
18.06.2018;20:04:23;901049;925145;-2.639;149;25;0;100;1305
18.06.2018;20:04:24;901065;925154;-2.638;149;25;0;100;1836
18.06.2018;20:04:25;901006;925095;-2.638;149;25;0;100;-390
18.06.2018;20:04:26;901036;925126;-2.638;150;25;0;100;-49
18.06.2018;20:04:27;901001;925088;-2.638;150;25;0;100;507
18.06.2018;20:04:28;900928;925011;-2.638;150;25;0;100;503
18.06.2018;20:04:29;900956;925036;-2.638;149;25;0;100;927
18.06.2018;20:04:30;900910;924984;-2.637;149;25;0;100;1180
18.06.2018;20:04:31;900915;924986;-2.637;149;25;0;100;775
18.06.2018;20:04:32;900949;925016;-2.636;149;25;0;100;1214
18.06.2018;20:04:33;900965;925038;-2.637;149;25;0;100;-1378
18.06.2018;20:04:34;900979;925048;-2.636;149;25;0;100;1082
18.06.2018;20:04:35;900890;924960;-2.637;149;25;0;100;-835
18.06.2018;20:04:36;900967;925034;-2.636;149;25;0;100;1250
